"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"151","302","302","302","0.14784783524028033","0.14608380753569045","0.15244039898424794"
"152","304","304","304","0.1465895732689359","0.14433323465019296","0.1489670278814522"
"153","306","306","306","0.14678185700087704","0.1442743744243134","0.15094589854832713"
"154","308","308","308","0.14680872717003324","0.1444109011006509","0.1491509360550765"
"155","310","310","310","0.14778925510180513","0.14641935175332094","0.14856850650732736"
"156","312","312","312","0.14781755016974013","0.14477388081296466","0.1512201699220436"
"157","314","314","314","0.14798784721926456","0.14531488701589337","0.1516637584142723"
"158","316","316","316","0.14644311264179985","0.14497047837683502","0.1495775726615558"
"159","318","318","318","0.1475475241442305","0.1424857349378501","0.14980828892060954"
"160","320","320","320","0.14896531417701314","0.14439520523929142","0.15399299176713827"
"161","322","322","322","0.14633455912863652","0.14300569192697582","0.14949837141494546"
"162","324","324","324","0.14752875416206335","0.14482261394141313","0.15000455595659298"
"163","326","326","326","0.14903280146337633","0.14509770184999604","0.15187029090764248"
"164","328","328","328","0.14820820081577915","0.146550336576023","0.14930569299682261"
"165","330","330","330","0.14623415750010743","0.1419358301929787","0.15011037028719323"
"166","332","332","332","0.14679329295030655","0.14361619104801326","0.1497865462441923"
"167","334","334","334","0.14663206955542923","0.14462962825598827","0.14919405463962002"
"168","336","336","336","0.14766529813755688","0.1444257735078979","0.15184169291518904"
"169","338","338","338","0.14679081222015927","0.14459354873132924","0.1512296827748814"
"170","340","340","340","0.14750077315732496","0.14649087213123452","0.14892016259440496"
"171","342","342","342","0.14719263400564386","0.14460102482789006","0.14892291407185482"
"172","344","344","344","0.1478308883854525","0.14678545198130502","0.14856662353884018"
"173","346","346","346","0.14693629185683202","0.14391353480335867","0.15073902144618845"
"174","348","348","348","0.1454351612624814","0.1434421113292323","0.14774607095667977"
"175","350","350","350","0.14592733527885074","0.14522141001751537","0.14679935700538702"
"176","352","352","352","0.14779919156792248","0.14583109459664478","0.14929908396308927"
"177","354","354","354","0.14612740330189822","0.142170289816421","0.14844436644367853"
"178","356","356","356","0.1471486835397557","0.1450198372554066","0.15129217865072364"
"179","358","358","358","0.1473442881099562","0.14576855217505855","0.15122538914661565"
"180","360","360","360","0.14486549502969243","0.1439398786075705","0.14648870202510847"
"181","362","362","362","0.1462539722159771","0.14337210252805946","0.1488917838762241"
"182","364","364","364","0.14757360315560045","0.14475938248796455","0.1498768877677587"
"183","366","366","366","0.14631953712363352","0.14507497901359984","0.14780401607543062"
"184","368","368","368","0.14631423195625276","0.14369670575484592","0.1488917518999783"
"185","370","370","370","0.14774043116340246","0.14492251270454184","0.15042198339642704"
"186","372","372","372","0.14704389461438452","0.1463460010861236","0.1474814438924492"
"187","374","374","374","0.14699680827249564","0.14480857055852753","0.14998613401271532"
"188","376","376","376","0.14580540247775403","0.14346112756500312","0.14760966840273929"
"189","378","378","378","0.14695869999056532","0.14449915774180985","0.1499720014692813"
"190","380","380","380","0.1485369122094021","0.14600161659614394","0.15147030718485596"
"191","382","382","382","0.14660077770902383","0.14505803064569614","0.1480183199804"
"192","384","384","384","0.14633370067853482","0.1443566005072768","0.1485102325709613"
"193","386","386","386","0.1480843024025677","0.14578799253389244","0.1498370016085922"
"194","388","388","388","0.14679480659888694","0.14395512887385545","0.14913356238122416"
"195","390","390","390","0.14597627581445088","0.1438807319403039","0.1475298763073252"
"196","392","392","392","0.14791224482524024","0.1457862819045514","0.14926679646981553"
"197","394","394","394","0.14824602342334448","0.14515131332349748","0.1518476629006885"
"198","396","396","396","0.1472459815614196","0.1464762994268963","0.14805821742921443"
"199","398","398","398","0.14552634735641373","0.14347315928404855","0.14721737025567105"
"200","400","400","400","0.146581322672857","0.14547452683458809","0.14751165256220325"
"201","402","402","402","0.14673958352102723","0.14582935094660338","0.14757767004413389"
"202","404","404","404","0.14663080723553376","0.14455018170342207","0.15090348503779555"
"203","406","406","406","0.14693145698708795","0.14466593075034895","0.14902382035472805"
"204","408","408","408","0.14733348461754953","0.1446228702199428","0.15052010548530634"
"205","410","410","410","0.14573151693217076","0.14361170861082195","0.1485622166415055"
"206","412","412","412","0.14527803951945545","0.14097882022381472","0.14821425807402996"
"207","414","414","414","0.1470930107692974","0.14475399112532272","0.15000108920821778"
"208","416","416","416","0.14577676700596404","0.1438421116228769","0.14967033180197353"
"209","418","418","418","0.14659972367983137","0.14533338543285873","0.1480864634561517"
"210","420","420","420","0.1453211514158684","0.14367363736273647","0.14701896224324706"
"211","422","422","422","0.14625581984808828","0.14502068521772324","0.14720530604102225"
"212","424","424","424","0.14611946566958228","0.1433953283373001","0.1478182704344648"
"213","426","426","426","0.1456484927683388","0.14302795004672594","0.14850827399014793"
"214","428","428","428","0.1472711263305631","0.1445951067869157","0.15038176147211538"
"215","430","430","430","0.14617780206909442","0.1436221015999","0.14846163540150067"
"216","432","432","432","0.14689314951874616","0.14578658186031335","0.14822268630477872"
"217","434","434","434","0.14713396700259482","0.143591001953469","0.15067209165248568"
"218","436","436","436","0.14750462972603956","0.1453231944749526","0.14996200896062992"
"219","438","438","438","0.14731461216107272","0.14588116057351266","0.14887083430957268"
"220","440","440","440","0.1467085872197537","0.14344673130837157","0.1502892968048525"
"221","442","442","442","0.1457719359294925","0.14451568700186207","0.14661515563506017"
"222","444","444","444","0.14772454936469562","0.1468190486993268","0.14843603392693497"
"223","446","446","446","0.14651852075385632","0.1443125719388332","0.14795390048893595"
"224","448","448","448","0.14749058690136008","0.1458183959237068","0.149949678133344"
"225","450","450","450","0.14522169896762832","0.14329791791348503","0.14723350250586006"
"226","452","452","452","0.14674231992143014","0.1440157687976649","0.14916143811102986"
"227","454","454","454","0.14640845917121664","0.14350729665465797","0.14802416781776626"
"228","456","456","456","0.14813111382870742","0.14555869147519174","0.14969186283483765"
"229","458","458","458","0.14668380620585814","0.1445988854283072","0.1500301431650828"
"230","460","460","460","0.146693991810147","0.14343082635988846","0.1492078935038957"
"231","462","462","462","0.147556567546055","0.1438909623831939","0.15030387816544738"
"232","464","464","464","0.14565626468552045","0.14282735637887575","0.1473667610232987"
"233","466","466","466","0.14707520649776679","0.14631067819673282","0.14803230817394072"
"234","468","468","468","0.1479800019493566","0.14468322600662153","0.15060145065422392"
"235","470","470","470","0.14770318502877675","0.14584347073914775","0.15039975848023973"
"236","472","472","472","0.14672811814829206","0.14533196702321388","0.1482485382547472"
"237","474","474","474","0.14637044210378206","0.1443627676922352","0.14766726789054443"
"238","476","476","476","0.14681623955590145","0.14443532559333946","0.14876953428833156"
"239","478","478","478","0.14778850237255137","0.14550524640287674","0.149136045673808"
"240","480","480","480","0.14724532210661756","0.1428379299851434","0.15196370248302865"
"241","482","482","482","0.1454657895999137","0.14388841972665792","0.15058691951144235"
"242","484","484","484","0.14783762172476447","0.14285752169529226","0.15653385181080792"
"243","486","486","486","0.14663731837483526","0.1448098043534602","0.14895304641746787"
"244","488","488","488","0.14641124188138235","0.14406466608667562","0.1487944587806026"
"245","490","490","490","0.14656471696026452","0.14421634478892154","0.14889935176393124"
