"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"294","588","588","588","0.1478165760692636","0.1460735576379064","0.15246610562685467"
"295","590","590","590","0.14847836319198163","0.14431221274818318","0.1533862875542331"
"296","592","592","592","0.1475352951523195","0.14500256201003967","0.14944188315906834"
"297","594","594","594","0.14715634042770218","0.14464784632627056","0.14819061564423047"
"298","596","596","596","0.1470867284652378","0.1446484071570393","0.15151529959346152"
"299","598","598","598","0.14681708854816908","0.14500442720257128","0.14791847177355627"
"300","600","600","600","0.14742104862735847","0.14570452323432237","0.1506051486168664"
"301","602","602","602","0.14641321779120228","0.14512540889548076","0.147729458068123"
"302","604","604","604","0.14604777299942842","0.14423143746205394","0.1484247809810426"
"303","606","606","606","0.1464632117465347","0.14422580852735922","0.15056616692082714"
"304","608","608","608","0.14501948029126804","0.14208862965196406","0.14761458729054155"
"305","610","610","610","0.1466419644116925","0.14448326942432507","0.149089468239284"
"306","612","612","612","0.14555393249971596","0.1435740720480928","0.14731071287826591"
"307","614","614","614","0.1461196176804074","0.14300897505299212","0.14932398266998134"
"308","616","616","616","0.14593400518566788","0.14335445846915082","0.14732541218224632"
"309","618","618","618","0.14579387919778833","0.14406502345561437","0.1497122036537493"
"310","620","620","620","0.14762780380096102","0.14611257884300125","0.14917851710341487"
"311","622","622","622","0.14703731903908251","0.14537091577932015","0.14993051044698857"
"312","624","624","624","0.14783958032334038","0.1447495287839199","0.1545460091701802"
"313","626","626","626","0.1478102946433481","0.1441339278904851","0.1514822957491742"
"314","628","628","628","0.1466737043099831","0.14579963924712944","0.14802517280029667"
"315","630","630","630","0.14630083926606882","0.1449582347758819","0.14863911420376014"
"316","632","632","632","0.1491696501815573","0.14628837505016146","0.1518305472664807"
"317","634","634","634","0.14884644404490904","0.1464317846101405","0.15310180964815165"
"318","636","636","636","0.14695825197244236","0.14407558150912902","0.14841781308756977"
"319","638","638","638","0.14773747080964067","0.1450498629358303","0.15156719596204604"
"320","640","640","640","0.14669618912313553","0.14478560883810956","0.14905719127069522"
"321","642","642","642","0.14717652066067116","0.14563929139025147","0.1493773784655473"
"322","644","644","644","0.1474842197182797","0.14561138067789925","0.15249330440358433"
"323","646","646","646","0.1474230498663239","0.14556317723976253","0.1488750980735078"
"324","648","648","648","0.14814709263497805","0.14645120664505484","0.1502134687126579"
"325","650","650","650","0.1482369242605072","0.14554472853266504","0.150431407630724"
"326","652","652","652","0.14735125185444914","0.14299255705197053","0.15530230038109472"
"327","654","654","654","0.14648098526527975","0.14416650608327175","0.1493802564334307"
"328","656","656","656","0.14685620726806595","0.14449808967583586","0.15016552550176457"
"329","658","658","658","0.1477307887319203","0.14510330024038945","0.1494944826047067"
"330","660","660","660","0.14788913615698918","0.14616674453974476","0.1496257944411543"
"331","662","662","662","0.14878752458703923","0.14581305650460355","0.15223245195079932"
"332","664","664","664","0.1486557104575254","0.14702427372950608","0.14971695759144224"
"333","666","666","666","0.14870768063615342","0.14592041192667712","0.15088646765212724"
"334","668","668","668","0.14938929828363232","0.14751174636817163","0.15306676821873247"
"335","670","670","670","0.14697131021215193","0.14511671117391886","0.1480492331868721"
"336","672","672","672","0.14752140263375832","0.14512497884620415","0.14987495825054772"
"337","674","674","674","0.14737124227504234","0.14448214279936217","0.14870153759514235"
"338","676","676","676","0.14776926208583024","0.14439687115954625","0.15040289693535117"
"339","678","678","678","0.14807139950274228","0.14620911533402653","0.1494145978661558"
"340","680","680","680","0.1471929829814727","0.14644313061393718","0.14774906713531408"
"341","682","682","682","0.1470749568100756","0.14467631393363034","0.14963408947307313"
"342","684","684","684","0.1486698753592018","0.1464980152787092","0.15008230969603154"
"343","686","686","686","0.14905869891136744","0.1472319507596717","0.15061185684789108"
"344","688","688","688","0.14812086052436516","0.14668195474103976","0.15012498127241614"
"345","690","690","690","0.14754499395281112","0.14611908256009157","0.14917444132880872"
"346","692","692","692","0.14760332857784197","0.14540540174834243","0.15062073312492413"
"347","694","694","694","0.14724320823201925","0.14476705153489802","0.15110944485072886"
"348","696","696","696","0.14871619653572363","0.14488408910328138","0.15167627558855473"
"349","698","698","698","0.14789180086463324","0.14755969822276568","0.14848925192599513"
"350","700","700","700","0.14785987069096856","0.14617849725044768","0.1494450494344744"
"351","702","702","702","0.14734161595849712","0.14482427070966855","0.14923626522163208"
"352","704","704","704","0.14766317913435978","0.1463669820920018","0.14845893478195302"
"353","706","706","706","0.14857921147198314","0.14658007886559032","0.15126606976808032"
"354","708","708","708","0.14749524642843675","0.14572631423083232","0.14998111525389782"
"355","710","710","710","0.14754245874418923","0.14518729677008402","0.1504470407287286"
"356","712","712","712","0.14825120378386944","0.14532379596273037","0.15039518445081607"
"357","714","714","714","0.14706052823495977","0.14521442025650602","0.1480984435135341"
"358","716","716","716","0.14723713941094435","0.1457430420100954","0.14856235875943108"
"359","718","718","718","0.1457356942437375","0.14334997833356972","0.1486674734994097"
"360","720","720","720","0.15015882986547152","0.14842928761665858","0.15271939811012056"
"361","722","722","722","0.1481814749068701","0.14512086788948586","0.1515044473178025"
"362","724","724","724","0.1478796422035023","0.14530069122268827","0.15148125197891"
"363","726","726","726","0.14831741160058717","0.14704184408811655","0.1510445341319506"
"364","728","728","728","0.1486444934607632","0.14783393994176408","0.14992997108736203"
