"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - loss_to_report_val","wurdinger_fnn_testset.yaml - loss_to_report_val__MIN","wurdinger_fnn_testset.yaml - loss_to_report_val__MAX"
"220","440","440","440","0.13344650452223142","0.13182312072175018","0.1357998199898055"
"221","442","442","442","0.13295471636763043","0.13058211982674117","0.13692250009154341"
"222","444","444","444","0.13347731526307122","0.13108511788782148","0.13612237550083145"
"223","446","446","446","0.1323775744414371","0.13119976337697228","0.13377869905112744"
"224","448","448","448","0.1324272517452307","0.13090828196682333","0.1347418383778287"
"225","450","450","450","0.1328430354376332","0.13130038198085758","0.13451109048268295"
"226","452","452","452","0.1330123175050974","0.13135039303720272","0.13407520885262217"
"227","454","454","454","0.1325692763855152","0.13122619359651602","0.13418258966676377"
"228","456","456","456","0.13263066489405023","0.13095435658696034","0.13429747077360557"
"229","458","458","458","0.132277969753734","0.13045583448258855","0.13418876349184536"
"230","460","460","460","0.13303188437731794","0.13160168352906085","0.13404932351724574"
"231","462","462","462","0.13265092565524766","0.13130986191950866","0.1356127272964358"
"232","464","464","464","0.1330329748583316","0.12926875046062958","0.13548579745968695"
"233","466","466","466","0.1330497616696378","0.13088075724898182","0.13458733551402682"
"234","468","468","468","0.13244069220305768","0.13039996783956356","0.13644802941323947"
"235","470","470","470","0.13323763755168064","0.13101313494701858","0.13581453801211432"
"236","472","472","472","0.13266850763501586","0.13132467168471043","0.13414521839624113"
"237","474","474","474","0.13220953149508324","0.1304518058366893","0.13426329496476308"
"238","476","476","476","0.13220434199950412","0.13036340126155413","0.13397076408170094"
"239","478","478","478","0.132982888018107","0.1306461359406117","0.13536827912890367"
"240","480","480","480","0.13250406178246663","0.13063903665811635","0.13481546979612036"
"241","482","482","482","0.13279016255515994","0.13078120038270521","0.1363911800307306"
"242","484","484","484","0.13165491728906653","0.13016321947319148","0.13357300291915516"
"243","486","486","486","0.1321262855719702","0.1295038102803306","0.13477465632124047"
"244","488","488","488","0.1324793329057531","0.12996701554807352","0.13447571400440697"
