"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"151","302","302","302","0.8692315289063657","0.8677189287866932","0.87104191880221"
"152","304","304","304","0.8692169545453247","0.8653193810602041","0.8709885580881889"
"153","306","306","306","0.8688459987450396","0.8649059694715806","0.8719956466367912"
"154","308","308","308","0.8694545173036596","0.8674848278562387","0.8718124261818502"
"155","310","310","310","0.8698939501874354","0.8670936744880169","0.873772669698288"
"156","312","312","312","0.869182086315828","0.8656198810816903","0.8732889027503249"
"157","314","314","314","0.8703899218561215","0.8674595869561084","0.8726002005387336"
"158","316","316","316","0.8706299991873699","0.8678950330589695","0.8734103444912099"
"159","318","318","318","0.8703502032926995","0.8676404277692064","0.8751587797895888"
"160","320","320","320","0.8701421726997852","0.868694271476119","0.8713866289274481"
"161","322","322","322","0.8690020627440825","0.8653375322544514","0.8731347996172867"
"162","324","324","324","0.870281426443162","0.8680604998505764","0.872443303715004"
"163","326","326","326","0.8702244986163837","0.8676928116569864","0.8761268228949757"
"164","328","328","328","0.868910083330292","0.8666136545808587","0.8709557001207422"
"165","330","330","330","0.8717118350865508","0.8688699564078235","0.8770170315975977"
"166","332","332","332","0.8692845388361402","0.8652495794351568","0.8726362303346485"
"167","334","334","334","0.8690438518527053","0.867459844326229","0.8705269313834949"
"168","336","336","336","0.8710781467108306","0.8695645508159957","0.8733740238441522"
"169","338","338","338","0.8693554439483335","0.8663783392063655","0.871243130548778"
"170","340","340","340","0.8710641469542948","0.8703204631767105","0.8721100935544221"
"171","342","342","342","0.8690274707705521","0.8664116772262681","0.8711872040843539"
"172","344","344","344","0.8690049891069492","0.8654856446263287","0.8742486981125986"
"173","346","346","346","0.8683985729164638","0.8645597024055068","0.874253931059062"
"174","348","348","348","0.8702077283325428","0.8646599626548038","0.8751779537337986"
"175","350","350","350","0.869922026430757","0.8666119946940353","0.8717325281221115"
"176","352","352","352","0.8693428754264622","0.8655665419649156","0.8709426978503149"
"177","354","354","354","0.8692860376702342","0.8665638897877975","0.8710635544599428"
"178","356","356","356","0.8699800660338903","0.8676646062221176","0.8719535697844527"
"179","358","358","358","0.869306787649684","0.8644813448186911","0.8720713735659656"
"180","360","360","360","0.8691518989744654","0.8662007175662062","0.8712184887098705"
"181","362","362","362","0.8710446868909099","0.8699797929973436","0.8722166952113757"
"182","364","364","364","0.8711455913334765","0.8686454791488251","0.8754268310353809"
"183","366","366","366","0.8668283845687187","0.8605808145950293","0.8708267150721976"
"184","368","368","368","0.8707560314949931","0.8645909981038776","0.8771103513391973"
"185","370","370","370","0.8710995558886682","0.8665189338279993","0.8732016445272694"
"186","372","372","372","0.8716988090900836","0.8705546881533243","0.8733668482378277"
"187","374","374","374","0.8710734121184606","0.8682274315922469","0.8743230103299008"
"188","376","376","376","0.8707274735897851","0.86996237251866","0.8718218430835998"
"189","378","378","378","0.8709005710393756","0.8665348959964244","0.8734105503405765"
"190","380","380","380","0.8731866131206847","0.8696346372107314","0.8786304750108471"
"191","382","382","382","0.8714985424408646","0.8697831145934181","0.8746786915110828"
"192","384","384","384","0.8721930182326221","0.8710423113266841","0.873715052448175"
"193","386","386","386","0.8717817150376673","0.8701711507386608","0.8729857891501646"
"194","388","388","388","0.8720259876498233","0.8711102669103481","0.873161363711661"
"195","390","390","390","0.8710046512267349","0.8695788953040312","0.8722677874041148"
"196","392","392","392","0.871121999456696","0.8685257450667104","0.8730313778354586"
"197","394","394","394","0.8714000241708749","0.8691694091987249","0.8729199587642726"
"198","396","396","396","0.871571779970908","0.8695378617980352","0.8725455234596433"
"199","398","398","398","0.8699911525869265","0.8675882525554571","0.8714263862418551"
"200","400","400","400","0.8715705905333303","0.8707992305431939","0.8721591449238116"
"201","402","402","402","0.871422076805685","0.8699153021801741","0.8740411442110297"
"202","404","404","404","0.8711349848281789","0.869071547823962","0.8730884486100656"
"203","406","406","406","0.8708748831275859","0.868482720011011","0.8723917767536272"
"204","408","408","408","0.8717662733060569","0.8686333675185405","0.8774795688455099"
"205","410","410","410","0.8721096930390206","0.8665690051247816","0.8764696099613726"
"206","412","412","412","0.8716117638099927","0.8701338729743164","0.8733998002225316"
"207","414","414","414","0.8720488158260158","0.8705587721601906","0.87347648046764"
"208","416","416","416","0.871568930584236","0.8711903586682653","0.8720563210461767"
"209","418","418","418","0.8717689274173818","0.8682914190197141","0.874224256491497"
"210","420","420","420","0.8716279825444989","0.8696334401157965","0.8732343792421196"
"211","422","422","422","0.8727526374214534","0.8714120851699368","0.8759821485281142"
"212","424","424","424","0.8706450195756126","0.8669255917513846","0.8749924730977878"
"213","426","426","426","0.8709399240893834","0.8684595348572723","0.8729573016955553"
"214","428","428","428","0.8707624958187722","0.8687421800041617","0.8737357969512185"
"215","430","430","430","0.8734106420824663","0.8710412009539876","0.876680506671866"
"216","432","432","432","0.8724439802199753","0.8691626898448416","0.8784550416271063"
"217","434","434","434","0.8718440729200984","0.8668311058717677","0.8760790291576461"
"218","436","436","436","0.8711171402797231","0.8660652051567438","0.8735792739399544"
"219","438","438","438","0.8720070781549941","0.8714976629690171","0.8729384210575944"
"220","440","440","440","0.871313559828373","0.863741736796189","0.8787266477632474"
"221","442","442","442","0.8713380693646406","0.8629021605857202","0.8762777694017875"
"222","444","444","444","0.87106358456122","0.8694575148577925","0.8719253529193262"
"223","446","446","446","0.8710576314649657","0.8643796401693947","0.8779884333231442"
"224","448","448","448","0.872125915940168","0.8703213505499515","0.8741778858475796"
"225","450","450","450","0.8704860901846484","0.8643707551053149","0.8740115752821677"
"226","452","452","452","0.8697093414204584","0.8656586534579341","0.8725994825214066"
"227","454","454","454","0.8718515908564155","0.869287158800228","0.8740639338640104"
"228","456","456","456","0.8726683862683193","0.870902427245747","0.8753884587801034"
"229","458","458","458","0.8708965605439525","0.8686737172079911","0.8722165974686492"
"230","460","460","460","0.8702524738659164","0.865316430677816","0.8739776963166179"
"231","462","462","462","0.8702009032324642","0.8661491196763722","0.8718514589287467"
"232","464","464","464","0.8710399344866181","0.8667456815304342","0.873777230157475"
"233","466","466","466","0.8714058746070453","0.8675339477024607","0.8730049838518095"
"234","468","468","468","0.8698411900113646","0.8629133930908444","0.874745196554336"
"235","470","470","470","0.8701144318202783","0.8661482370232114","0.8722940826550023"
"236","472","472","472","0.8708222049944379","0.869780233826481","0.8716944857446371"
"237","474","474","474","0.871943656462714","0.8704358211806226","0.8728260753696333"
"238","476","476","476","0.8709312825918077","0.8697314402683353","0.8717316378640346"
"239","478","478","478","0.8707968544667268","0.8697220078274872","0.8717193286851398"
"240","480","480","480","0.8715077484663654","0.8691339245738001","0.8729721210899731"
"241","482","482","482","0.8711509327118364","0.8688434366663536","0.8727308821728464"
"242","484","484","484","0.8712454326629746","0.8699122391147133","0.8720394179021613"
"243","486","486","486","0.871092034283332","0.8684563479413737","0.8722855301675828"
"244","488","488","488","0.8717735735108144","0.8687845873943609","0.8734775950512415"
"245","490","490","490","0.8718467124424197","0.8691105101012637","0.8736070160109226"
"246","492","492","492","0.8726299991606441","0.8698920274834276","0.8753153678620987"
"247","494","494","494","0.8699945737789523","0.8677627762059137","0.8719187866948173"
"248","496","496","496","0.8725743575846728","0.870505795446371","0.873824117531707"
"249","498","498","498","0.8708699288349295","0.8691603576426907","0.8730897197057003"
"250","500","500","500","0.8699649274128047","0.8685965230338012","0.8722235610774185"
"251","502","502","502","0.8699706983947394","0.8662530680939483","0.8732895540014671"
"252","504","504","504","0.8699744018360835","0.8661376778079257","0.8727004788854522"
"253","506","506","506","0.8709282433681296","0.8665371604470602","0.8739132042411639"
"254","508","508","508","0.8702779683332871","0.8657766177431508","0.874338543224084"
"255","510","510","510","0.869097328475047","0.8663295291163832","0.8731770088552075"
"256","512","512","512","0.8703233536071868","0.8665192444487646","0.872992098447962"
"257","514","514","514","0.870567135493127","0.8657801054698172","0.8741044551609344"
"258","516","516","516","0.8705120217838662","0.86731624994448","0.875371373915227"
"259","518","518","518","0.8702196143726877","0.8665737532866515","0.8718541432396192"
"260","520","520","520","0.8701758687665843","0.8678856656431797","0.8726390572883614"
"261","522","522","522","0.8704311818942985","0.8667588963261701","0.8732173457744679"
"262","524","524","524","0.8705503734313871","0.8663381896830465","0.8734550592583892"
"263","526","526","526","0.871122159484013","0.8670785123625058","0.8732301533789243"
"264","528","528","528","0.869764443122602","0.8662104761296648","0.8725331364243587"
"265","530","530","530","0.8686001931628036","0.863179959598156","0.872593606256368"
"266","532","532","532","0.8700868865340622","0.8663594624290359","0.8725493855850207"
"267","534","534","534","0.8699879249874533","0.8680589913143029","0.8711995828402637"
"268","536","536","536","0.8711294587316731","0.8702052137003126","0.8728585938992116"
"269","538","538","538","0.8699202657169918","0.8656602225600689","0.8727402232459986"
"270","540","540","540","0.871100398505177","0.8685086351575166","0.8733712124641952"
"271","542","542","542","0.871682743823556","0.8701179880370394","0.8722084828999829"
"272","544","544","544","0.8722512039526571","0.8715233465855698","0.8731564886114986"
"273","546","546","546","0.870285371136563","0.8672759604873267","0.8728698504186188"
"274","548","548","548","0.8716286564001864","0.8703606478437094","0.8735154637591652"
"275","550","550","550","0.8717073243034756","0.8695062052493275","0.8753163417125421"
"276","552","552","552","0.8723249564790759","0.8692209347187113","0.8740373286249989"
"277","554","554","554","0.8724676347795786","0.8702538087834019","0.8760955186307324"
