"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"197","394","394","394","0.14885183141097896","0.1472204397358949","0.15174555073508267"
"198","396","396","396","0.14871781040098483","0.14641547291218965","0.1499176283162266"
"199","398","398","398","0.14873864752875376","0.1473308790569939","0.14991939446471103"
"200","400","400","400","0.1493444330698575","0.1476875720973198","0.15054498996039903"
"201","402","402","402","0.14897848141781003","0.14568971059800168","0.15441173716164577"
"202","404","404","404","0.14794875855708003","0.14594298941091813","0.15147575703900074"
"203","406","406","406","0.14968193504288113","0.14703982605156632","0.15503991724274727"
"204","408","408","408","0.1483070635696691","0.146243552409293","0.15142287695081424"
"205","410","410","410","0.14830162692566123","0.14612967289830386","0.15097263073303258"
"206","412","412","412","0.149575288094782","0.14744489006100847","0.1511040251255627"
"207","414","414","414","0.14869797126389617","0.14673261862635414","0.1503328905353482"
"208","416","416","416","0.14924353846229294","0.14671116528975667","0.15166588117025007"
"209","418","418","418","0.1492407423091116","0.14660736761603987","0.15197709149592217"
"210","420","420","420","0.1483773289705022","0.1467382457209638","0.15145626150449054"
"211","422","422","422","0.1480261147901473","0.14506953696178806","0.1497757499941399"
"212","424","424","424","0.14976883624991835","0.1482253510249447","0.15190303402941652"
"213","426","426","426","0.14958961734538861","0.14722836280533017","0.150837390012374"
"214","428","428","428","0.14982407721065383","0.1478528996412714","0.15160777714428633"
"215","430","430","430","0.14837542541454235","0.1454480872536331","0.14996535247764312"
"216","432","432","432","0.149973983610874","0.14732341631166215","0.15180806872341995"
"217","434","434","434","0.14846977839473577","0.14557876737525496","0.15020809070931052"
"218","436","436","436","0.15015507991304644","0.14723176980873345","0.15395553369158954"
"219","438","438","438","0.1492458942689297","0.14510617468382883","0.15175221009715703"
"220","440","440","440","0.14783491731180465","0.14612062565152042","0.15001950882653745"
"221","442","442","442","0.14949709029339836","0.14673567905302537","0.15262529251387413"
"222","444","444","444","0.14804672600580798","0.1460295281983499","0.14946783546889475"
"223","446","446","446","0.14938836986039866","0.14740644483470292","0.15361647328178374"
"224","448","448","448","0.14799872724169458","0.14559053004605013","0.1510596605904436"
