"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"263","526","526","526","0.8726719596128595","0.8703368018807704","0.8791191911919916"
"264","528","528","528","0.8728168918879566","0.8713564771801962","0.8767414067218443"
"265","530","530","530","0.8721464453523596","0.87147862915558","0.8729307038741855"
"266","532","532","532","0.871492322601356","0.8679906583171613","0.87449168462405"
"267","534","534","534","0.8713665320664428","0.868437105791075","0.8744765566351945"
"268","536","536","536","0.8716788205519028","0.8708221284200507","0.8734066929411289"
"269","538","538","538","0.871850322509372","0.8704789405005381","0.8738733942369532"
"270","540","540","540","0.8735661782193992","0.8702367664815988","0.8763314130546196"
"271","542","542","542","0.8717019307863904","0.8690360374784831","0.8747086817292684"
"272","544","544","544","0.8728619405557841","0.8709730738793365","0.8755826320596812"
"273","546","546","546","0.8729368288732298","0.8709718954064168","0.8758855147228428"
"274","548","548","548","0.8714546397096227","0.8694258107196111","0.873572355553326"
"275","550","550","550","0.8722241292298717","0.8707549743368527","0.8753473761338886"
"276","552","552","552","0.8713599073669442","0.870451542457787","0.873075528541249"
"277","554","554","554","0.8723097385846591","0.8706029444613084","0.874540827469014"
"278","556","556","556","0.8719814691062467","0.87037770880577","0.8753489743100205"
"279","558","558","558","0.8719707790063687","0.8709993572878958","0.8731172971748321"
"280","560","560","560","0.8722749341837585","0.8703949251718721","0.875601023262683"
"281","562","562","562","0.8721526585792482","0.8694934186931411","0.8767979469625216"
"282","564","564","564","0.8722417736443313","0.8692036120331743","0.876043989474018"
"283","566","566","566","0.8721990076319088","0.8673739737368541","0.8757433770378829"
"284","568","568","568","0.8725211964484885","0.8683558125442286","0.874330791116444"
"285","570","570","570","0.8709541101926522","0.864421212260203","0.8749519445111421"
"286","572","572","572","0.8702013352564579","0.8659027335062169","0.8739458149944622"
"287","574","574","574","0.8709005788061337","0.8635904286510784","0.8776426894198961"
"288","576","576","576","0.8727089989507819","0.8675467230407271","0.8775589317911389"
"289","578","578","578","0.8725952181306333","0.8688065810299223","0.8776316758986306"
"290","580","580","580","0.8715335323286799","0.8639897945711577","0.8778337373271075"
"291","582","582","582","0.8728617006844652","0.8683482140848561","0.8793237837297231"
"292","584","584","584","0.8702167103927895","0.8670293890667556","0.8720177349521104"
"293","586","586","586","0.871021204100173","0.8697147256751736","0.8732604636040273"
"294","588","588","588","0.8711665075660896","0.8687289552725249","0.8732065700881434"
"295","590","590","590","0.8706037857808095","0.8657525718611476","0.8748305384059694"
"296","592","592","592","0.8716840080029609","0.8693799665500783","0.8735004536967945"
"297","594","594","594","0.8731019127284835","0.8697449243664549","0.8769235283225351"
"298","596","596","596","0.8736441415467467","0.871325342289341","0.8765021387672172"
"299","598","598","598","0.8715929303344963","0.8698572538307606","0.8740325354482036"
"300","600","600","600","0.8719144520345414","0.8698696560236232","0.8774385013844366"
"301","602","602","602","0.8718185981798895","0.8696078863031781","0.8761051862366925"
"302","604","604","604","0.8725583544158763","0.8697656726180726","0.8797036508116578"
"303","606","606","606","0.8732814623794214","0.8673766311419546","0.8795823481123421"
"304","608","608","608","0.8717196346682361","0.8671332251286002","0.8767088548508591"
"305","610","610","610","0.8723069138325006","0.8659397595441365","0.8783546990319798"
"306","612","612","612","0.8706683472059457","0.8691620392056896","0.8719111433900119"
"307","614","614","614","0.8726016528025635","0.86366971784539","0.8778617491919967"
"308","616","616","616","0.8709490640339365","0.8634864168926231","0.8743068607931401"
"309","618","618","618","0.8746360500722625","0.8673544863143237","0.8800439125114885"
"310","620","620","620","0.8709501194534246","0.8679776064329874","0.8737973154390035"
"311","622","622","622","0.8712493605977233","0.8677851440720603","0.8760100800466588"
"312","624","624","624","0.8712978943678114","0.8691402580329978","0.8724962061945314"
"313","626","626","626","0.8721489420529418","0.8673144390970106","0.8748721629949389"
"314","628","628","628","0.8734141416848227","0.8696451191799612","0.8758194973895295"
"315","630","630","630","0.8729817631333887","0.870454692693134","0.8765923368769644"
"316","632","632","632","0.8741826995781683","0.8708903516462099","0.8790795842048493"
"317","634","634","634","0.8740547654466898","0.8715267957206954","0.8766671665407391"
"318","636","636","636","0.872323505395183","0.8693731938570993","0.8777169321501488"
"319","638","638","638","0.874434291397446","0.8691015569826114","0.8763945938542999"
"320","640","640","640","0.8742264851980348","0.8722112340296745","0.8770801932360301"
"321","642","642","642","0.8742165273898719","0.8712963603168744","0.8770933424678505"
"322","644","644","644","0.8734491969546792","0.8699715919983346","0.876795709468185"
"323","646","646","646","0.8740002581299073","0.8709039872297909","0.8788232023193739"
"324","648","648","648","0.8733922361873061","0.8697967037275041","0.8756043014523269"
"325","650","650","650","0.8748083367793067","0.8727668920065226","0.8767427183881819"
"326","652","652","652","0.8748554711660386","0.8722585591268335","0.8779319894402244"
"327","654","654","654","0.8726627584592105","0.8658851646302775","0.8768482819800212"
"328","656","656","656","0.8728686090124951","0.8715051600129705","0.8754434846268695"
"329","658","658","658","0.8708544615073308","0.8656886593292498","0.8764895064330099"
"330","660","660","660","0.8729714973070497","0.8680538008438694","0.8745286048370763"
"331","662","662","662","0.8721947430845625","0.8697610299049782","0.8746781799213998"
"332","664","664","664","0.8733005468978133","0.8707997306230075","0.879546471030671"
"333","666","666","666","0.8724968677728283","0.8696562090629795","0.8793379956041997"
"334","668","668","668","0.8738210269509528","0.871065689019991","0.8784054997364873"
"335","670","670","670","0.8723955017360302","0.8670505196661445","0.8759426629722488"
"336","672","672","672","0.8710006916141906","0.8668162958009468","0.8786607690078085"
"337","674","674","674","0.8728107482081929","0.8653181400893104","0.8778177824384887"
"338","676","676","676","0.8729796795752114","0.8689223593159623","0.8744482407299143"
"339","678","678","678","0.8724587326425155","0.8677350913730036","0.8746039100402164"
"340","680","680","680","0.8722184215876825","0.8680221726698047","0.8760804504082154"
"341","682","682","682","0.8717511307627589","0.8679535416539688","0.8753296674642845"
